name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj_hoc,FDR,falsePos,WT_rep1,WT_rep2,SMC4KD_rep1,SMC4KD_rep2
PBANKA_1108700,12720.125,24167.95,1272.3,0.0526402294493041,-4.24769041223934,8.70656262209084,7.62090237777572e-31,3.79749565484564e-27,3.79749565484564e-27,3.79749565484564e-27,29120.6,19215.3,1058.7,1485.9
PBANKA_1245861,2962.6,1011.9,4913.3,4.84952135933209,2.277842362435,6.60642879239147,3.92176258589504e-12,1.95382212029291e-08,9.77107148275749e-09,1.9542142965515e-08,1175.8,848,3797.6,6029
PBANKA_0700761,2632.675,949.7,4315.65,4.53938101839211,2.18249558769739,6.43629394540605,1.12845689062231e-11,5.62084377218974e-08,1.87436689532366e-08,5.62310068597098e-08,1072.8,826.6,3320.2,5311.1
PBANKA_1465700,670.675,1122.6,218.75,0.19467097924831,-2.36089026586332,4.46253751800296,2.31372111352939e-09,1.15223311453764e-05,2.88231807717924e-06,1.15292723087169e-05,1305.1,940.1,146.8,290.7
PBANKA_1111000,2774.1,4058.4,1489.8,0.367181639359822,-1.44543417520644,6.5094399036609,4.23915946172191e-07,0.00211067749599134,0.000422474631955205,0.00211237315977603,3543.8,4573,1360.9,1618.7
PBANKA_1356800,3077.575,4445.05,1710.1,0.38484015212528,-1.37766876498417,6.6592619379037,9.65273464975355e-07,0.00480513130864732,0.000801659612662032,0.00480995767597219,3860.1,5030,1742.1,1678.1
PBANKA_1231600,4416.15,6335.5,2496.8,0.394103782057735,-1.3433525003729,7.1805107602967,1.41146386322452e-06,0.00702485564726844,0.00100476063292111,0.00703332443044779,6509.2,6161.8,2604.1,2389.5
PBANKA_1104400,2865.7,4084.85,1646.55,0.403168394050797,-1.31054555013044,6.55649595032052,1.83389681293432e-06,0.00912547054116115,0.00114228847735646,0.00913830781885169,3756.2,4413.5,1615.9,1677.2
PBANKA_MIT02700,1627.375,646.9,2607.85,4.0233722683136,2.00840523157592,5.7436931069561,3.79513985326048e-06,0.0188808207699709,0.00210124243208855,0.018911181888797,841.4,452.4,1488,3727.7
PBANKA_0700721,115.75,33.7,197.8,5.64225222598139,2.49627116025865,1.97828423182262,6.98304915668544e-06,0.0347336865053534,0.00347965339477635,0.0347965339477635,55.1,12.3,159.7,235.9
PBANKA_MIT03200,72.925,22.4,123.45,5.27692934560624,2.39969866698263,1.33262572720917,8.18842681476468e-06,0.0407210465498248,0.0037093573470884,0.0408029308179724,32.5,12.3,81.6,165.3
PBANKA_0837001,65.625,107.15,24.1,0.22724119956507,-2.13770367104961,1.12154554653718,1.04199367377088e-05,0.051807925459888,0.0042364958748677,0.0508379504984124,108.5,105.8,34.3,13.9
