ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0032870	cellular response to hormone stimulus	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0009755	hormone-mediated signaling pathway	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0071396	cellular response to lipid	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0071383	cellular response to steroid hormone stimulus	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0048545	response to steroid hormone	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0009725	response to hormone	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0043401	steroid hormone mediated signaling pathway	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0009741	response to brassinosteroid	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0071367	cellular response to brassinosteroid stimulus	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0009742	brassinosteroid mediated signaling pathway	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
GO:0033993	response to lipid	1	1	PBANKA_1329500,	100.0	368.1	inf	0.00271665308341	0.00493936924256	0.0543330616682
