ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0042254	ribosome biogenesis	83	3	PBANKA_0515800,PBANKA_1207000,PBANKA_1315600,	3.6	11.09	14.95	0.00209991361258	0.0347731594676	0.0671972356025
GO:0008616	queuosine biosynthetic process	1	1	PBANKA_0615100,	100.0	306.75	inf	0.00325998370009	0.0347731594676	0.104319478403
GO:0046116	queuosine metabolic process	1	1	PBANKA_0615100,	100.0	306.75	inf	0.00325998370009	0.0347731594676	0.104319478403
GO:0022613	ribonucleoprotein complex biogenesis	116	3	PBANKA_0515800,PBANKA_1207000,PBANKA_1315600,	2.6	7.93	10.49	0.0054491645536	0.0435933164288	0.174373265715
GO:0009163	nucleoside biosynthetic process	3	1	PBANKA_0615100,	33.3	102.25	166.68	0.00975074403767	0.0445748298865	0.312023809205
GO:0034404	nucleobase-containing small molecule biosynthetic process	3	1	PBANKA_0615100,	33.3	102.25	166.68	0.00975074403767	0.0445748298865	0.312023809205
GO:0042455	ribonucleoside biosynthetic process	3	1	PBANKA_0615100,	33.3	102.25	166.68	0.00975074403767	0.0445748298865	0.312023809205
GO:1901659	glycosyl compound biosynthetic process	4	1	PBANKA_0615100,	25.0	76.69	111.09	0.0129815735841	0.0461567060768	0.415410354691
GO:0009119	ribonucleoside metabolic process	4	1	PBANKA_0615100,	25.0	76.69	111.09	0.0129815735841	0.0461567060768	0.415410354691
GO:0009116	nucleoside metabolic process	7	1	PBANKA_0615100,	14.3	43.82	55.5	0.0226161758289	0.0723717626526	0.723717626526
GO:1901657	glycosyl compound metabolic process	8	1	PBANKA_0615100,	12.5	38.34	47.56	0.0258085018741	0.0750792781793	0.825872059972
GO:0006396	RNA processing	217	3	PBANKA_0515800,PBANKA_0615100,PBANKA_0620000,	1.4	4.24	5.38	0.0299160731927	0.0797761951805	0.957314342166
GO:0034470	ncRNA processing	100	2	PBANKA_0515800,PBANKA_0615100,	2.0	6.13	7.29	0.04039103631	0.0994240893786	1.0
GO:0006352	DNA-templated transcription, initiation	15	1	PBANKA_1105800,	6.7	20.45	23.73	0.047888544744	0.108224652679	1.0
